r_pytania,kategoria,pytanie,odpowiada,zgaduje,dodatkowo,Jajko,Bekon,Szynka
1,Śmieszne,"Czy zdarza Ci się mówić do zwierząt, jak do ludzi?",Jajko,Szynka,Bekon,2,1,2
2,Wolisz,Wolisz wstać bardzo wcześnie czy zostać do późna?,Bekon,Szynka,Jajko,1,2,3
3,Wolisz,Wolisz mieć super pamięć czy super szybkość?,Szynka,Bekon,Jajko,1,4,3
4,Śmieszne,"Czy potrafisz zapamiętać tekst piosenki, ale zapominasz, gdzie zostawiłeś telefon?",Jajko,Bekon,Szynka,2,3,1
5,Przeszłość,"Czy zdarzyło Ci się zrobić coś zakazanego, czego nie przyznałeś się rodzicom?",Bekon,Jajko,Szynka,2,2,1
6,Przeszłość,Czy często sięgałeś po pomoc rodziców przy odrabianiu lekcji?,Szynka,Jajko,Bekon,3,1,2
